,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,092,940","+19,244","399,365",+347,"23,594,231","+20,364","1,099,344","21,895",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,298,085","+46,775","817,196","+1,248","23,945,780","+41,622","9,535,109","25,841",,,,,,Europe,,,,,
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796","336,251","2,526",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,060,694","+71,053","2,551,995","+2,102","90,785,098","+71,648","21,723,601","90,316","14,761",327.4,,,,All,,,,,
,47,Ecuador,"286,367",,"15,832 ",,"247,898",,"22,637",524,"16,070",888,"1,011,259","56,747","17,820,433 ",South America,"621,12618",
,48,Nepal,"274,294",+78,"2,777 ",,"270,543",+72,974,,"9,303",94,"2,165,985","73,465","29,483,260 ",Asia,"10710,61714",
,49,Georgia,"271,379",+461,"3,532 ",+12,"265,686",+163,"2,161",,"68,116",887,"2,752,944","690,990","3,984,055 ",Asia,"151,1281",
,50,Bolivia,"249,767",+757,"11,666 ",+17,"193,652",+620,"44,449",71,"21,205",990,"727,400","61,756","11,778,531 ",South America,"471,01016",
,51,Bulgaria,"249,626",,"10,308 ",,"206,630",,"32,688",414,"36,107","1,491","1,681,417","243,210","6,913,440 ",Europe,286714,
,52,Croatia,"243,458",+394,"5,548 ",+11,"235,017",+382,"2,893",65,"59,549","1,357","1,354,191","331,233","4,088,334 ",Europe,177373,
,53,Dominican Republic,"239,998",,"3,106 ",,"192,078",,"44,814",203,"21,978",284,"1,210,716","110,870","10,920,127 ",North America,"463,5169",
,54,Azerbaijan,"235,014",+352,"3,225 ",+2,"228,982",+143,"2,807",,"23,041",316,"2,610,880","255,972","10,199,878 ",Asia,"433,1634",
,55,Tunisia,"233,669",,"8,022 ",,"198,778",,"26,869",272,"19,635",674,"982,163","82,530","11,900,699 ",Africa,"511,48412",
,56,Ireland,"220,273",,"4,319 ",,"23,364",,"192,590",117,"44,281",868,"3,523,320","708,293","4,974,381 ",Europe,"231,1521",
,57,Kazakhstan,"214,089",+658,"2,540 ",,"197,782",+893,"13,767",221,"11,312",134,"7,419,449","392,031","18,925,661 ",Asia,"887,4513",
